dimension,metric,memory_cost,recursion_depth,total cost,n_0,k_0,theta_0,code_size_0,list size_0,buckets size_0,m_0,eta_0,pf_inv_0,num_codes_0,filter_cost_0,memory_cost_0,search_cost_0,n_1,k_1,theta_1,code_size_1,list size_1,buckets size_1,m_1,eta_1,pf_inv_1,num_codes_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,list size_2,buckets size_2,m_2,eta_2,pf_inv_2,num_codes_2,filter_cost_2,memory_cost_2,search_cost_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,hardware_time,-19.8,2,149.3482026,511,170,1.251728323,34.98689861,101.7783602,103.4064107,2,0.463185803,6513536,11.66229955,124.22067,135.5533079,136.3082615,511,170,1.234068391,36.69978957,68.41598871,68.36424594,5,0.999996018,3541088,16.68172561,80.70365545,83.79204821,83.23972259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,hardware_time,-19.8,3,147.9058909,511,170,1.300815708,25.93606958,101.7801354,103.2424081,2,0.463845937,30606191,8.645357706,119.6950166,135.3488774,138.1398089,511,170,1.290639799,23.60736587,77.08366581,77.30633853,2,0.999921676,22271831,14.16441896,93.83358987,97.00248635,95.96676237,511,170,1.287912051,29.63965471,50.76907736,53.69897266,8,0.999999988,20240709,9.91070223,59.42057064,61.49770736,60.97530256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,hardware_time,-19.8,1,225.2072793,1023,341,1.170597783,74.16585794,142.6908219,142.6904816,2,0.456670378,2594582961,29.38414666,184.70949,195.2359776,194.2405967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,hardware_time,-19.8,2,214.8929464,1023,341,1.2544554,49.26708933,142.6949633,144.6746772,2,0.458227831,4.80E+11,16.42236311,172.2586832,197.3853536,196.5478748,1023,341,1.245586751,49.31133729,95.40525514,94.97966523,3,0.999999986,2.82E+11,22.41424422,116.7714655,124.023717,123.6781501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,hardware_time,-19.8,3,210.5737781,1023,341,1.294452529,38.32877302,142.6963609,144.2461974,2,0.458752418,4.33E+12,12.77625767,166.7889405,196.8318598,195.7490984,1023,341,1.290075099,37.09380695,105.9150917,105.20928,2,0.999999438,3.38E+12,16.86082134,129.3898628,139.6382919,138.5395046,1023,341,1.295055012,36.5181037,68.1131366,68.1130115,5,1,4.31E+12,17.24812886,80.34345164,83.37657296,82.74274033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,hardware_time,-19.8,1,306.8731252,1023,341,1.179164088,97.58431441,191.3444194,191.3443943,2,0.464785964,45115436980,38.07212907,245.0947833,268.2166103,267.2148792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,hardware_time,-19.8,2,298.2349252,1023,341,1.221730476,77.94495796,191.3460802,191.3456884,2,0.465401715,9.94E+11,30.01202927,235.2727468,268.2188265,258.7104417,1023,341,1.25125601,65.66007371,113.3990321,113.398455,3,1,7.48E+12,29.46125329,140.2364366,151.2981154,143.2506381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,hardware_time,-19.8,3,298.2308661,1023,341,1.221730476,77.94495796,191.3460802,191.3456884,2,0.465401715,9.94E+11,30.01202927,235.2727468,268.2188265,250.0896834,1023,341,1.311169819,43.55426963,113.3990321,113.3984869,2,1,3.16E+14,20.57308349,140.124825,151.2981393,148.1172669,1023,341,1.339160117,36.70066834,69.04230014,69.84421724,4,1,1.45E+15,18.09771696,83.16463292,85.49106597,85.10496446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hardware_time,0,1,162.6770983,511,170,1.221730476,37.64203154,97.72668745,97.72631085,2,0.461250998,1905483,15.07080803,121.4947099,147.5897487,141.1514906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hardware_time,0,2,158.7460766,511,170,1.276037657,27.64240282,97.72906871,97.72861729,2,0.462139505,11331654,11.06393087,116.4948583,147.5932645,142.6015118,511,170,1.337215323,18.36376689,70.08251969,70.08225401,2,0.999979889,63776313,8.242032308,84.20693003,106.1235803,105.1490311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
