dimension,metric,memory_cost,recursion_depth,total cost,n_0,k_0,theta_0,code_size_0,list size_0,buckets size_0,m_0,eta_0,pf_inv_0,num_codes_0,filter_cost_0,memory_cost_0,search_cost_0,n_1,k_1,theta_1,code_size_1,list size_1,buckets size_1,m_1,eta_1,pf_inv_1,num_codes_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,list size_2,buckets size_2,m_2,eta_2,pf_inv_2,num_codes_2,filter_cost_2,memory_cost_2,search_cost_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,-12.8,3,216.5365489,1023,341,1.298524963,35.73438768,142.4852974,142.4849226,2,0.458754936,5.26E+12,13.92819689,165.280136,201.927665,200.1836262,1023,341,1.298524963,35.67872109,106.7481984,106.7474901,2,0.75,1,15.21455492,129.5150744,148.3217665,147.20172,1023,341,1.298524963,35.62367819,71.06642876,71.0660126,3,0.75,1,16.67479286,87.86786518,94.7993515,89.54785672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,hardware_time,-12.8,1,314.8463069,1023,341,1.193805208,91.71778962,193.6565842,193.6557373,2,0.465280908,1.46E+11,35.58283138,244.4729757,278.6842413,277.6669879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,hardware_time,-12.8,2,302.1018556,1023,341,1.267109037,60.40071908,193.6589801,193.6587094,2,0.466168178,2.41E+13,23.07242126,228.8111217,278.6882671,275.7297744,1023,341,1.267109037,59.3010035,133.2563137,132.2247539,2,0.75,1,26.95500157,167.8583694,187.5090061,187.2251605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,hardware_time,-12.8,3,296.4598955,1023,341,1.308996939,45.6591331,193.659976,193.659906,2,0.466536551,3.21E+14,17.44728331,221.4392021,278.6899114,275.6457507,1023,341,1.308996939,45.60791193,147.9990962,147.9986649,2,0.75,1,18.96380308,175.7526455,210.1983209,208.8434597,1023,341,1.308996939,45.53073784,102.3890744,102.3623298,2,0.75,1,20.69579007,130.1039667,141.7636926,141.2739351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,hardware_time,-12.8,1,160.2815435,511,170,1.187692516,46.90466072,101.7751899,101.7751528,2,0.462004845,679952,18.83760186,130.1794727,140.862757,139.849624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,hardware_time,-12.8,2,154.8973936,511,170,1.266871057,32.02399531,101.7789593,103.2731304,2,0.463408665,10702722,10.67466491,122.7391262,142.3864924,142.7374565,511,170,1.24362623,34.8494382,71.24561175,71.24503354,3,0.75,1,15.56094487,87.81006893,95.06800329,90.8516545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,hardware_time,-12.8,3,152.0735832,511,170,1.310360477,24.35836682,101.7804286,102.9631893,2,0.463954881,40441687,8.119458425,118.906137,142.0148013,142.494958,511,170,1.289593014,26.48641302,78.60129916,78.60105381,2,0.75,1,11.46565048,96.791334,106.1017664,104.0969359,511,170,1.316263459,22.1660095,52.11110883,52.11096312,4,0.75,1,10.61197099,62.59800667,66.37720047,65.27398827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,hardware_time,-12.8,1,229.3521739,1023,341,1.188569221,67.83715092,142.6918831,142.6913724,2,0.457069921,8393765067,26.71961608,181.5446456,202.2374417,200.5710854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,hardware_time,-12.8,2,220.3014685,1023,341,1.261873049,45.22798488,142.6952498,142.6948708,2,0.458335426,7.34E+11,17.59521133,170.2386526,202.2425905,199.8376863,1023,341,1.261873049,45.1566551,97.46455321,97.4640018,2,0.75,1,19.79915158,124.9721608,134.3964163,132.8015054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,hardware_time,-12.8,3,216.870689,1023,341,1.298524963,35.7893788,142.6964861,142.6957712,2,0.458799399,5.36E+12,13.94857606,165.518949,202.2441931,200.4927536,1023,341,1.298524963,35.73456725,106.9040597,106.9038645,2,0.75,1,15.2361507,129.6989881,148.5559432,147.4323741,1023,341,1.298524963,35.67883964,71.16696076,71.16637098,3,0.75,1,16.69942911,87.98691328,94.95001864,89.68873154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,hardware_time,-12.8,1,310.9589203,1023,341,1.193805208,90.5531731,191.3450369,191.3445572,2,0.465014992,1.33E+11,35.14697969,241.5783168,275.2171957,274.2463464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,hardware_time,-12.8,2,298.3747277,1023,341,1.267109037,59.64771712,191.347477,191.3469514,2,0.465919081,2.14E+13,22.7995608,226.1223641,275.2208214,272.3262245,1023,341,1.267109037,58.57061107,131.6975359,130.6883419,2,0.75,1,26.623005,165.9336428,185.1794661,184.9198745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,hardware_time,-12.8,3,293.3868922,1023,341,1.303760951,46.79706167,191.3483501,191.3477463,2,0.466242198,2.08E+14,17.88756572,219.6960303,275.2220724,271.9365956,1023,341,1.303760951,46.74465256,144.5489863,144.5488906,2,0.75,1,19.51375677,172.8703938,205.0234077,203.1001062,1023,341,1.303760951,46.69180116,97.8025377,97.80250884,2,0.75,1,21.35342747,126.0974513,134.9037849,131.030419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,hardware_time,-12.8,1,54.27774337,511,170,1.162389282,16.90344647,37.62660329,38.89181295,6,0.383599857,1382,5.634852762,45.39673999,46.55597006,48.04173246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,hardware_time,-12.8,2,54.18673304,255,85,1.293288976,6.14974712,37.66025801,36.26022858,6,0.39781262,1393,6.136766521,43.63214433,44.90856297,46.88754635,127,42,1.293288976,9.379378367,29.15751085,30.11048146,6,0.75,1,3.177580307,35.67000823,36.22601728,35.97650032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,hardware_time,-12.8,3,55.39090674,255,85,1.361356817,4.169925001,37.66415144,36.07572824,6,0.399435565,2769,4.249871993,43.30537287,44.86397641,50.27286517,127,42,1.361356817,4.247927513,31.89185983,31.11373522,6,0.75,1,4.243369797,37.54562115,38.25541192,40.80711982,127,42,1.361356817,6.392317423,26.15688537,26.8658077,6,0.75,1,2.453866188,32.16983731,32.81719036,32.50186943702123dimension,metric,memory_cost,recursion_depth,total cost,n_0,k_0,theta_0,code_size_0,list size_0,buckets size_0,m_0,eta_0,pf_inv_0,num_codes_0,filter_cost_0,memory_cost_0,search_cost_0,n_1,k_1,theta_1,code_size_1,list size_1,buckets size_1,m_1,eta_1,pf_inv_1,num_codes_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,list size_2,buckets size_2,m_2,eta_2,pf_inv_2,num_codes_2,filter_cost_2,memory_cost_2,search_cost_2,n_3,k_3,theta_3,code_size_3,list size_3,buckets size_3,m_3,eta_3,pf_inv_3,num_codes_3,filter_cost_3,memory_cost_3,search_cost_3,n_4,k_4,theta_4,code_size_4,list size_4,buckets size_4,m_4,eta_4,pf_inv_4,num_codes_4,filter_cost_4,memory_cost_4,search_cost_4dimension,metric,memory_cost,recursion_depth,total cost,n_0,k_0,theta_0,code_size_0,list size_0,buckets size_0,m_0,eta_0,pf_inv_0,num_codes_0,filter_cost_0,memory_cost_0,search_cost_0,n_1,k_1,theta_1,code_size_1,list size_1,buckets size_1,m_1,eta_1,pf_inv_1,num_codes_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,list size_2,buckets size_2,m_2,eta_2,pf_inv_2,num_codes_2,filter_cost_2,memory_cost_2,search_cost_2,n_3,k_3,theta_3,code_size_3,list size_3,buckets size_3,m_3,eta_3,pf_inv_3,num_codes_3,filter_cost_3,memory_cost_3,search_cost_3,n_4,k_4,theta_4,code_size_4,list size_4,buckets size_4,m_4,eta_4,pf_inv_4,num_codes_4,filter_cost_4,memory_cost_4,search_cost_4
100,hardware_time,-12.8,4,56.86125138,255,85,1.403244719,3.169925001,37.66596868,36.44824245,6,0.400191568,3920,3.307127115,43.14026496,44.97047686,52.76719319,127,42,1.403244719,3.169925001,33.26437405,32.07207751,6,0.75,1,3.329951657,38.7381477,39.65861754,45.47312375,127,42,1.403244719,3.321928095,28.88807304,28.45468205,6,0.75,1,3.265844291,34.38678531,35.10841196,38.0874461,127,42,1.403244719,4.906890596,24.53710342,25.13275395,6,0.75,1,2.529634056,30.30140118,31.01081096,30.54905603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,hardware_time,-12.8,5,57.62948662,255,85,1.450368608,2.321928095,37.66758719,36.87819165,5,0.400864097,5402,2.336814596,43.07783151,45.13002842,54.60583782,127,42,1.450368608,2.321928095,34.54232015,33.76770486,6,0.75,1,2.337328837,39.87469101,41.29108528,49.2618012,127,42,1.450368608,2.321928095,31.43169729,30.67189393,6,0.75,1,2.352230491,36.76353277,37.75074577,43.89135404,127,42,1.450368608,2.321928095,28.3357476,27.59078838,6,0.75,1,2.45631658,33.66703703,34.3810317,38.33129592,127,42,1.450368608,2.321928095,25.25450053,24.5244182,6,0.75,1,3.105475579,30.58523291,31.08631092,31.94891618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,hardware_time,-12.8,1,89.98955532,255,85,1.178097245,27.0537243,59.9739969,60.49798965,3,0.429965642,1331,10.5862397,73.94333752,78.60759206,78.08580674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,hardware_time,-12.8,2,87.52114835,255,85,1.256637061,19.06004147,59.97880303,61.11875613,2,0.431861469,5476,6.353329675,74.4580259,79.26354136,79.73524645,255,85,1.256637061,17.84421537,42.05176086,42.05162963,7,0.75,1,8.363916401,49.54884409,51.53484463,50.41601072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,hardware_time,-12.8,3,88.21324962,255,85,1.319468915,8.832890014,59.98144369,56.41807703,2,0.432900417,14586,8.834835081,69.34379066,77.20807681,78.06595072,255,85,1.319468915,8.982993575,47.5782332,45.63725187,3,0.75,1,8.984707674,55.51815777,58.79825991,58.60324641,255,85,1.319468915,13.72770778,35.22425687,36.65425829,7,0.75,1,4.703328167,42.13254195,43.62764664,43.75105071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,hardware_time,-12.8,4,89.13039592,255,85,1.361356817,6.714245518,59.98277334,57.34448032,2,0.433422841,25516,6.70308755,68.2852187,77.26503224,81.46755845,255,85,1.361356817,6.781359714,50.623281,48.08706099,2,0.75,1,6.772606907,58.95903346,63.25341642,67.03084968,255,85,1.361356817,6.845490051,41.29871378,40.00355875,5,0.75,1,6.862655857,47.61259322,49.83270543,52.36328534,255,85,1.361356817,10.39660478,32.00908501,33.1580687,7,0.75,1,4.415908159,38.44050643,39.55104286,40.10367929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,hardware_time,-12.8,5,91.47906207,255,85,1.398008731,5.129283017,59.98370878,58.02164734,2,0.433790091,38865,5.129291626,67.49328154,77.3528105,85.46474222,255,85,1.398008731,5.169925001,52.88541052,50.98855137,2,0.75,1,5.147156859,60.41504529,66.72520803,74.32095791,255,85,1.398008731,5.169925001,45.81163888,43.93935247,2,0.75,1,5.209719892,53.34100067,56.19921899,63.08606785,255,85,1.398008731,5.209453366,38.76240597,36.95423321,7,0.75,1,5.26799791,44.45082047,46.24548248,51.79835935,255,85,1.398008731,5.247927513,31.73772401,29.99262332,7,0.75,1,6.801429371,37.43137316,37.78888582,38.93657394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,hardware_time,-12.8,1,126.6415736,511,170,1.183333233,37.28569575,81.67483216,81.67409947,2,0.452888453,211466,15.21533243,105.2517013,110.7116994,110.0179465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,hardware_time,-12.8,2,122.1601659,511,170,1.261873049,26.02831347,81.6796455,83.02358906,2,0.454710768,2478021,8.676106244,99.62447499,112.054143,111.8082289,511,170,1.261873049,24.61505377,56.9907024,56.99362702,3,0.75,1,11.18870744,70.12531548,73.69039998,73.33678733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,hardware_time,-12.8,3,121.1958283,511,170,1.303760951,18.54245758,81.68149002,82.6575215,2,0.455407487,7867749,8.428347672,95.88148973,111.6325123,110.8837476,511,170,1.303760951,20.66639566,62.53564454,64.11506392,2,0.75,1,6.88883466,77.79789752,83.62809787,84.02292617,511,170,1.303760951,19.03186002,43.44408054,43.44326731,7,0.75,1,9.246342824,51.09084615,53.53480624,51.82778997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,hardware_time,-12.8,4,122.0740037,511,170,1.350884841,9.805743872,81.68311978,77.64704237,2,0.456022345,24598483,9.806725398,91.5128723,109.7462307,111.0051375,511,170,1.350884841,9.933690655,67.83672532,63.96593035,2,0.75,1,9.934985749,77.73023841,88.98070596,89.98629997,511,170,1.350884841,10.07414146,54.02765197,51.93937257,2,0.75,1,10.07377629,63.99117883,68.40353749,68.45105554,511,170,1.350884841,15.33911929,40.25590625,41.86523111,5,0.75,1,5.58197496,48.25100481,50.54414638,52.37416323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,hardware_time,-12.8,5,124.1037628,511,170,1.382300768,7.727920455,81.68398869,78.56946347,2,0.456349874,47436325,7.726148224,90.47443663,109.7815028,115.4067505,511,170,1.382300768,7.794415866,70.83696983,67.81682085,2,0.75,1,7.793314229,79.66043874,93.51660199,98.93853398,511,170,1.382300768,7.864186145,60.01781726,57.09532562,2,0.75,1,7.865872839,68.87594372,77.29508421,82.35397439,511,170,1.382300768,7.942514505,49.22653712,46.41026721,2,0.75,1,7.94469777,58.12360038,61.1442168,65.63498791,511,170,1.382300768,8.022367813,38.46313562,35.75461873,8,0.75,1,9.715391659,44.39144534,45.71626306,47.47900905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,hardware_time,-12.8,1,162.4109557,511,170,1.188569221,47.36010368,103.0532478,103.0528168,2,0.462462003,741209,19.00206369,131.6860828,142.7795485,141.9075867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,hardware_time,-12.8,2,156.4556716,511,170,1.261873049,33.42670204,103.0567186,104.6051411,2,0.463753659,9745051,11.14223407,124.7193185,144.3706284,143.2453499,511,170,1.261873049,31.80599749,71.17496657,71.17437762,2,0.75,1,14.2233256,92.02672126,94.96202793,93.71175937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,hardware_time,-12.8,3,154.753227,511,170,1.308996939,21.91635112,103.058318,103.0579896,2,0.464347791,41999043,11.28161411,118.9633308,142.7872307,141.0437385,511,170,1.308996939,25.43393514,79.35541659,81.14163852,2,0.75,1,8.477978765,97.01978089,109.1217416,109.0772674,511,170,1.308996939,23.59586605,55.70422255,55.70409513,3,0.75,1,11.12550185,68.51608633,71.75952265,70.98828339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,hardware_time,-12.8,4,154.0530019,511,170,1.345648853,19.25588149,103.0593035,105.760595,2,0.464713587,114879490,6.418647502,117.6335912,145.9253514,146.0859398,511,170,1.345648853,19.53892966,84.79557629,86.50471353,2,0.75,1,6.512926173,99.51130779,117.1825188,119.1658174,511,170,1.345648853,16.53999178,66.57038694,66.96578387,2,0.75,1,9.924105756,79.78598589,88.38247797,88.03419853,511,170,1.345648853,20.18665713,48.3837393,50.42579209,3,0.75,1,6.935755849,60.05852616,63.02201615,63.84785382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,hardware_time,-12.8,5,156.1291873,511,170,1.371828792,10.48683502,103.0598909,98.69085818,2,0.464931476,218225177,10.48767341,113.248209,141.805114,144.5266421,511,170,1.371828792,10.59991284,88.20055071,83.97497736,2,0.75,1,10.59959646,98.44528938,119.5185463,122.3644284,511,170,1.371828792,10.72024426,73.37158368,69.29672703,2,0.75,1,10.72027985,83.6763703,97.27809032,99.99173992,511,170,1.371828792,10.8494051,58.57299352,56.40258348,2,0.75,1,10.85098039,68.9422436,75.20455484,77.34919877,511,170,1.371828792,16.48271344,43.80478395,45.55317838,4,0.75,1,8.321320111,52.87065707,55.84383699,57.81354681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,hardware_time,-12.8,1,197.9689711,511,170,1.193805208,57.00135443,124.2907202,124.4910356,2,0.468291157,1934400,22.30487797,157.7557267,174.7941253,174.5211565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,hardware_time,-12.8,2,190.3449559,511,170,1.267109037,37.81430535,124.2935009,124.2933624,2,0.469314984,30572287,14.85056872,148.160712,174.6401475,173.3283157,511,170,1.267109037,37.36809705,86.47625822,86.09887895,2,0.75,1,16.98549865,110.1201992,117.6589402,117.3756981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,hardware_time,-12.8,3,187.8349316,511,170,1.298524963,32.37138755,124.2943782,125.6975243,2,0.469637597,88680573,10.79046256,145.439105,176.04787,175.0255014,511,170,1.298524963,30.39724705,93.32333798,92.80787206,2,0.75,1,13.81693073,113.4805615,127.8495978,126.8827474,511,170,1.298524963,30.85708475,62.40782076,62.40772364,3,0.75,1,14.56075065,77.65166787,81.8120191,76.51000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,hardware_time,-12.8,4,186.1906577,511,170,1.340412866,24.12094737,124.2953413,125.414287,2,0.469991517,319825031,8.040317095,141.3134512,175.7136654,176.8313013,511,170,1.340412866,20.95034515,101.2905408,101.2902331,2,0.75,1,11.72927764,116.7227787,140.1355804,138.8322632,511,170,1.340412866,24.9361936,78.32572108,80.33988793,2,0.75,1,8.312070203,95.75141698,107.8774122,108.1132862,511,170,1.340412866,22.8819976,55.40088463,55.40084681,3,0.75,1,11.13796863,67.98516262,71.3049267,70.47695733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,hardware_time,-12.8,5,188.8707277,511,170,1.366592804,13.10639936,124.2958355,118.7203792,2,0.470173063,652638963,13.10635925,135.8051028,173.648128,174.3626085,511,170,1.366592804,13.2629757,105.611181,100.2239268,2,0.75,1,13.26305738,117.1986698,145.62209,146.6959264,511,170,1.366592804,13.43136701,86.95814687,81.77091225,2,0.75,1,13.43136128,98.62976598,117.6437656,118.7399792,511,170,1.366592804,13.61263816,68.33673554,65.51629929,2,0.75,1,13.61278631,80.09892637,89.78002706,90.34720669,511,170,1.366592804,20.71204918,49.7469495,51.90366113,3,0.75,1,10.23229418,61.60755489,65.21361766,65.65815899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,hardware_time,-12.8,1,233.9782158,1023,341,1.188569221,69.25732455,145.4368672,145.436276,2,0.457669743,9911038509,27.25333392,185.0014338,206.3548575,204.5807457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
