dimension,metric,memory_cost,recursion_depth,total cost,n_0,k_0,theta_0,code_size_0,list size_0,buckets size_0,m_0,eta_0,pf_inv_0,num_codes_0,filter_cost_0,memory_cost_0,search_cost_0,n_1,k_1,theta_1,code_size_1,list size_1,buckets size_1,m_1,eta_1,pf_inv_1,num_codes_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,list size_2,buckets size_2,m_2,eta_2,pf_inv_2,num_codes_2,filter_cost_2,memory_cost_2,search_cost_2,n_3,k_3,theta_3,code_size_3,list size_3,buckets size_3,m_3,eta_3,pf_inv_3,num_codes_3,filter_cost_3,memory_cost_3,search_cost_3,n_4,k_4,theta_4,code_size_4,list size_4,buckets size_4,m_4,eta_4,pf_inv_4,num_codes_4,filter_cost_4,memory_cost_4,search_cost_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,-19.8,3,211.928686,1023,341,1.296504938,37.75267211,143.5996513,145.1297438,2,0.75,1,12.58422405,167.4039646,198.1621497,197.5062988,1023,341,1.289750822,37.10015502,107.3747352,106.6536854,2,0.75,1,16.86370683,130.8525616,141.820383,140.9556029,1023,341,1.294143618,36.68291332,69.55119013,69.5508963,5,0.75,1,17.30517302,81.81436345,85.53088759,85.45838597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,hardware_time,-19.8,3,299.875656,1023,341,1.221730476,77.94495796,192.4426073,192.4422155,2,0.75,1,30.01202927,236.3692739,269.8636171,251.6658004,1023,341,1.311169819,43.55426963,114.4955592,114.495014,2,0.75,1,20.57308349,141.2213521,152.94293,149.2274787,1023,341,1.339160117,36.70066834,70.13882725,70.94074435,4,0.75,1,17.36460817,84.26116003,87.13454971,87.29802089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,hardware_time,-19.8,1,312.6438667,1023,341,1.178097245,99.37403929,194.7534373,194.7534342,2,0.75,1,38.76891792,249.3995984,273.3301536,272.2061321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,hardware_time,-19.8,2,303.7132396,1023,341,1.221730476,78.94172879,194.7534373,194.7532126,2,0.75,1,30.3796544,239.1792698,273.3299875,263.6843267,1023,341,1.25125601,66.49441607,115.8098072,115.8097539,3,0.75,1,29.82071381,142.9260745,154.9146709,147.201748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,hardware_time,-19.8,3,303.7096497,1023,341,1.221730476,78.94172879,194.7534373,194.7532126,2,0.75,1,30.3796544,239.1792698,273.3299875,254.8468916,1023,341,1.311169819,44.10305369,115.8098072,115.8089233,2,0.75,1,20.80751329,142.8107311,154.914048,151.0302878,1023,341,1.339364591,37.08208886,70.90277713,71.70586961,4,0.75,1,17.50532664,85.12118668,88.28103585,88.40966223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,hardware_time,-19.8,1,158.1389479,511,170,1.159007706,53.82784461,102.880855,102.8806752,3,0.75,1,21.79596426,125.7757326,135.5211477,135.1374849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,hardware_time,-19.8,2,151.1615593,511,170,1.251728323,34.98689861,102.880855,104.5089054,2,0.75,1,11.66229955,125.3231647,137.20705,138.1697075,511,170,1.234068391,36.69978957,69.51848344,69.46674067,5,0.75,1,16.68172397,81.80615018,85.44384646,85.44471502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,hardware_time,-19.8,3,149.5729433,511,170,1.300815708,25.93606958,102.880855,104.3431276,2,0.75,1,8.645357706,120.7957361,136.9999566,139.8295186,511,170,1.290639799,23.60736587,78.18438533,78.40705805,2,0.75,1,14.16441893,94.93430939,98.65346159,97.69836492,511,170,1.287912051,29.63965471,51.86979688,54.79969218,8,0.75,1,9.894254877,60.52129016,62.97384507,63.17731694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hardware_time,0,1,164.3463026,511,170,1.221730476,37.64203154,98.83437264,98.83399605,2,0.75,1,15.07080803,122.6023951,149.2512765,143.366861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,hardware_time,0,1,239.1446054,1023,341,1.221730476,56.98099219,143.8107215,143.8106985,2,0.75,1,22.26410429,177.2329607,216.716065,213.6658964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
