dimension,metric,memory_cost,recursion_depth,total cost,n_1,k_1,theta_1,code_size_1,num_codes_1,m_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,num_codes_2,m_2,filter_cost_2,memory_cost_2,search_cost_2,n_3,k_3,theta_3,code_size_3,num_codes_3,m_3,filter_cost_3,memory_cost_3,search_cost_3
586,hardware_time,1.0000000,2,228.879784372922,1023,341,1.24353910256269,57.3051733099649,12.6303788752845,2,177.183937038456,216.241477418483,207.73786398187,1023,341,1.29615783938048,44.4459871783842,7.91925651107575,2,120.419274520527,141.512503076866,141.514364000229,,,,,,,,,
586,hardware_time,1.0000000,3,230.346267832751,1023,341,1.47314087278278,10.4512111118323,0,2,153.749693384191,215.405602395026,229.346221955964,1023,341,1.24353910256269,57.2244309562449,12.831431118963,2,170.356050005888,206.060224161359,196.313906791696,1023,341,1.30973996093988,40.3430653802328,7.4988595247869,,111.65944606364,130.657336494896,130.520657241723
586,hardware_time,1.0000000,1,234.260849716792,1023,341,1.20913638760105,67.6665091333508,17.0681459668673,2,182.366943244363,216.251818938474,216.131062406263,,,,,,,,,,,,,,,,,,
587,classical,0.0000011,1,195.85269258021,1023,341,1.04314688317859,182.186288145298,1,9,190.683739782974,-inf,194.770173211128,,,,,,,,,,,,,,,,,,
587,classical,0.0000011,2,197.387500578367,1023,341,1.37952010782214,25.8278480482144,0.999999990940582,9,151.611598136053,-inf,195.387500587425,1023,341,1.08325408919518,155.90411582269,1,9,164.374696119662,-inf,168.47806972176,,,,,,,,,
587,classical,1.0000000,1,195.85269258021,1023,341,1.04314688317859,182.186288145298,1,9,190.683739782974,-inf,194.770173211128,,,,,,,,,,,,,,,,,,
587,classical,1.0000000,2,197.387500578367,1023,341,1.37952010782214,25.8278480482144,0.999999990940582,9,151.611598136053,-inf,195.387500587425,1023,341,1.08325408919518,155.90411582269,1,9,164.374696119662,-inf,168.47806972176,,,,,,,,,
587,hardware_time,0.0000011,3,208.904925323755,1023,341,1.3258946961123,40.1761140320292,0.91926305865581,2,168.827287072709,200.51368683616,206.97751312473,1023,341,1.24353910256269,57.3051733099649,14.1533904760817,2,147.86585524492,152.464354729542,148.060495283417,1023,341,1.27628000500412,48.4041205799067,12.6682100253839,,74.9282107564243,76.9829046606777,76.8454275210951
587,hardware_time,0.0000011,2,218.413467733071,1023,341,1.1780892556129,78.1066039203426,21.6335457109236,2,187.800776373661,196.776843710558,183.076070499611,1023,341,1.26114792369029,53.1772711935364,13.6925594808035,5,87.8830725738835,90.1324860952604,90.1328674621202,,,,,,,,,
587,hardware_time,0.0000011,1,223.289772807963,1023,341,1.15352958404019,87.7749082107682,24.7882830922092,2,192.637568932693,197.475103073088,197.47790101759,,,,,,,,,,,,,,,,,,
